Date,Total,dgu-ecko.zip
2025-09-22,22,22
2025-09-21,22,22
2025-09-20,22,22
2025-09-19,22,22
2025-09-18,22,22
2025-09-16,22,22
2025-09-15,22,22
2025-09-14,22,22
2025-09-13,22,22
2025-09-12,22,22
2025-09-11,22,22
2025-09-10,22,22
2025-09-09,22,22
2025-09-08,22,22
2025-09-07,22,22
2025-09-06,22,22
2025-09-05,22,22
2025-09-04,22,22
2025-09-03,22,22
2025-09-02,22,22
2025-09-01,22,22
2025-08-31,22,22
2025-08-30,22,22
2025-08-29,22,22
2025-08-28,22,22
2025-08-27,22,22
2025-08-26,22,22
2025-08-25,22,22
2025-08-24,22,22
2025-08-23,22,22
2025-08-22,22,22
2025-08-21,22,22
2025-08-20,22,22
2025-08-19,22,22
2025-08-18,22,22
2025-08-17,22,22
2025-08-16,22,22
2025-08-15,22,22
2025-08-14,22,22
2025-08-13,22,22
2025-08-12,22,22
2025-08-11,22,22
2025-08-10,22,22
2025-08-09,22,22
2025-08-08,22,22
2025-08-07,22,22
2025-08-06,22,22
2025-08-05,21,21
2025-08-04,21,21
2025-08-03,21,21
2025-08-02,21,21
2025-08-01,21,21
2025-07-31,21,21
2025-07-30,21,21
2025-07-29,21,21
2025-07-28,21,21
2025-07-27,21,21
2025-07-26,21,21
2025-07-25,21,21
2025-07-24,21,21
2025-07-23,21,21
2025-07-22,21,21
2025-07-21,21,21
2025-07-20,21,21
2025-07-19,21,21
2025-07-17,21,21
2025-07-15,21,21
2025-07-14,21,21
2025-07-13,21,21
2025-07-12,21,21
2025-07-11,21,21
2025-07-10,21,21
2025-07-09,21,21
2025-07-08,21,21
2025-07-07,21,21
2025-07-06,21,21
2025-07-05,21,21
2025-07-04,21,21
2025-07-03,21,21
2025-07-02,21,21
2025-07-01,21,21
2025-06-29,21,21
2025-06-28,21,21
2025-06-27,21,21
2025-06-26,21,21
2025-06-25,21,21
2025-06-24,21,21
2025-06-23,21,21
2025-06-22,21,21
2025-06-21,21,21
2025-06-20,21,21
2025-06-19,21,21
2025-06-18,21,21
2025-06-17,21,21
2025-06-16,21,21
2025-06-15,21,21
2025-06-14,21,21
2025-06-13,21,21
2025-06-12,21,21
2025-06-11,21,21
2025-06-10,20,20
2025-06-09,20,20
2025-06-08,20,20
2025-06-07,20,20
2025-06-06,20,20
2025-06-05,20,20
2025-06-04,20,20
2025-06-03,20,20
2025-06-02,20,20
2025-06-01,20,20
2025-05-31,20,20
2025-05-30,20,20
2025-05-29,20,20
2025-05-28,20,20
2025-05-27,20,20
2025-05-26,20,20
2025-05-25,20,20
2025-05-24,20,20
2025-05-23,20,20
2025-05-22,20,20
2025-05-21,19,19
2025-05-20,18,18
2025-05-19,17,17
2025-05-18,17,17
2025-05-17,17,17
2025-05-16,17,17
2025-05-15,3,3
