Date,Total,dgu-ecko-0.5.0-chrome.zip
2025-11-11,7,7
2025-11-10,7,7
2025-11-09,6,6
2025-11-08,6,6
2025-11-07,6,6
2025-11-06,6,6
2025-11-05,6,6
2025-11-04,6,6
2025-11-03,6,6
2025-11-02,6,6
2025-11-01,6,6
2025-10-31,6,6
2025-10-30,4,4
2025-10-29,3,3
2025-10-28,2,2
2025-10-27,2,2
2025-10-26,2,2
2025-10-25,2,2
2025-10-24,2,2
2025-10-23,2,2
2025-10-22,2,2
2025-10-21,2,2
2025-10-20,2,2
2025-10-19,2,2
2025-10-18,2,2
2025-10-17,2,2
2025-10-16,2,2
2025-10-15,2,2
2025-10-14,2,2
2025-10-13,2,2
2025-10-12,1,1
2025-10-11,1,1
2025-10-10,1,1
2025-10-09,1,1
2025-10-08,1,1
2025-10-07,1,1
2025-10-06,1,1
2025-10-05,1,1
2025-10-04,1,1
2025-10-03,1,1
2025-10-02,1,1
2025-10-01,1,1
2025-09-30,1,1
2025-09-29,1,1
2025-09-28,1,1
2025-09-27,1,1
2025-09-26,1,1
2025-09-25,1,1
2025-09-24,1,1
2025-09-23,1,1
2025-09-22,1,1
2025-09-21,1,1
2025-09-20,1,1
