Date,Total
2025-11-19,9786
2025-11-18,9390
2025-11-17,9022
2025-11-16,8374
2025-11-15,7991
2025-11-14,7952
2025-11-12,7939
2025-11-11,7935
2025-11-10,7920
2025-11-09,7914
2025-11-08,7908
2025-11-07,7900
2025-11-06,7891
2025-11-05,7890
2025-11-04,7885
2025-11-03,7878
2025-11-02,7874
2025-11-01,7864
2025-10-31,7852
2025-10-30,7835
2025-10-29,7824
2025-10-28,7814
2025-10-27,7807
2025-10-26,7796
2025-10-25,7783
2025-10-24,7774
2025-10-23,7753
2025-10-22,7746
2025-10-21,7738
2025-10-20,7732
2025-10-19,7726
2025-10-18,7714
2025-10-17,7706
2025-10-16,7703
2025-10-15,7699
2025-10-14,7690
2025-10-13,7687
2025-10-12,7677
2025-10-11,7665
2025-10-10,7660
2025-10-09,7650
2025-10-08,7634
2025-10-07,7628
2025-10-06,7620
2025-10-05,7610
2025-10-04,7604
2025-10-03,7591
2025-10-02,7584
2025-10-01,7580
2025-09-30,7570
2025-09-29,7561
2025-09-28,7555
2025-09-27,7547
2025-09-26,7542
2025-09-25,7537
2025-09-24,7532
2025-09-23,7525
2025-09-22,7516
2025-09-21,7512
2025-09-20,7507
2025-09-19,7500
2025-09-18,7497
2025-09-16,7481
2025-09-15,7475
2025-09-14,7461
2025-09-13,7452
2025-09-12,7447
2025-09-11,7441
2025-09-10,7436
2025-09-09,7427
2025-09-08,7418
2025-09-07,7408
2025-09-06,7406
2025-09-05,7399
2025-09-04,7398
2025-09-03,7392
2025-09-02,7387
2025-09-01,7381
2025-08-31,7378
2025-08-30,7374
2025-08-29,7371
2025-08-28,7370
2025-08-27,7366
2025-08-26,7363
2025-08-25,7353
2025-08-24,7342
2025-08-23,7333
2025-08-22,7328
2025-08-21,7320
2025-08-20,7315
2025-08-19,7309
2025-08-18,7304
2025-08-17,7293
2025-08-16,7287
2025-08-15,7277
2025-08-14,7269
2025-08-13,7260
2025-08-12,7255
2025-08-11,7250
2025-08-10,7241
2025-08-09,7234
2025-08-08,7232
2025-08-07,7222
2025-08-06,7210
2025-08-05,7203
2025-08-04,7196
2025-08-03,7180
2025-08-02,7168
2025-08-01,7156
2025-07-31,7149
2025-07-30,7127
2025-07-29,7112
2025-07-28,7098
2025-07-27,7077
2025-07-26,7056
2025-07-25,7033
2025-07-24,7013
2025-07-23,6997
2025-07-22,6969
2025-07-21,6938
2025-07-20,6917
2025-07-19,6885
2025-07-17,6847
2025-07-15,6773
2025-07-14,6740
2025-07-13,6688
2025-07-12,6660
2025-07-11,6647
2025-07-10,6629
2025-07-09,6621
2025-07-08,6618
2025-07-07,6612
2025-07-06,6602
2025-07-05,6595
2025-07-04,6590
2025-07-03,6587
2025-07-02,6582
2025-07-01,6570
2025-06-29,6557
2025-06-28,6543
2025-06-27,6531
2025-06-26,6527
2025-06-25,6524
2025-06-24,6520
2025-06-23,6514
2025-06-22,6510
2025-06-21,6506
2025-06-20,6505
2025-06-19,6502
2025-06-18,6493
2025-06-17,6488
2025-06-16,6483
2025-06-15,6475
2025-06-14,6465
2025-06-13,6457
2025-06-12,6449
2025-06-11,6443
2025-06-10,6440
2025-06-09,6436
2025-06-08,6430
2025-06-07,6424
2025-06-06,6415
2025-06-05,6409
2025-06-04,6402
2025-06-03,6398
2025-06-02,6393
2025-06-01,6384
2025-05-31,6370
2025-05-30,6366
2025-05-29,6359
2025-05-28,6349
2025-05-27,6340
2025-05-26,6328
2025-05-25,6317
2025-05-24,6303
2025-05-23,6296
2025-05-22,6291
2025-05-21,6285
2025-05-20,6282
2025-05-19,6278
2025-05-18,6259
2025-05-17,6248
2025-05-16,6237
2025-05-15,6231
2025-05-14,6222
2025-05-13,6209
2025-05-12,6200
2025-05-11,6189
2025-05-10,6181
2025-05-09,6168
2025-05-08,6159
2025-05-07,6152
2025-05-06,6141
2025-05-05,6124
2025-05-04,6112
2025-05-03,6099
2025-05-02,6083
2025-05-01,6076
2025-04-30,6059
2025-04-29,6048
2025-04-28,6032
2025-04-27,6021
2025-04-26,6013
2025-04-25,6006
2025-04-24,5994
2025-04-23,5988
