Date,Total,EFT_Where_Am_I_v2.2.1.zip
2026-01-30,59,59
2026-01-29,59,59
2026-01-28,59,59
2026-01-27,59,59
2026-01-26,59,59
2026-01-25,59,59
2026-01-24,59,59
2026-01-23,59,59
2026-01-22,59,59
2026-01-21,59,59
2026-01-20,59,59
2026-01-19,59,59
2026-01-18,59,59
2026-01-17,59,59
2026-01-16,59,59
2026-01-15,59,59
2026-01-14,59,59
2026-01-13,59,59
2026-01-12,59,59
2026-01-11,59,59
2026-01-10,59,59
2026-01-09,59,59
2026-01-08,59,59
2026-01-07,59,59
2026-01-06,59,59
2026-01-05,59,59
2026-01-04,59,59
2026-01-03,59,59
2026-01-02,59,59
2026-01-01,59,59
2025-12-31,59,59
2025-12-30,57,57
2025-12-29,57,57
2025-12-28,57,57
2025-12-27,57,57
2025-12-26,57,57
2025-12-25,57,57
2025-12-23,57,57
2025-12-22,57,57
2025-12-21,57,57
2025-12-20,57,57
2025-12-19,57,57
2025-12-18,57,57
2025-12-17,57,57
2025-12-16,57,57
2025-12-15,57,57
2025-12-14,57,57
2025-12-13,57,57
2025-12-12,57,57
2025-12-11,57,57
2025-12-10,56,56
2025-12-09,56,56
2025-12-08,56,56
2025-12-07,56,56
2025-12-06,56,56
2025-12-05,56,56
2025-12-04,56,56
2025-12-03,56,56
2025-12-02,56,56
2025-11-30,56,56
2025-11-29,56,56
2025-11-28,56,56
2025-11-27,56,56
2025-11-26,55,55
2025-11-25,55,55
2025-11-24,54,54
2025-11-23,54,54
2025-11-22,54,54
2025-11-21,53,53
2025-11-20,53,53
2025-11-19,53,53
2025-11-18,52,52
2025-11-17,47,47
2025-11-16,41,41
