Date,Total,eft-where-am-i-2.3.1-dotnet-runtime-include2-win-sc-full.nupkg,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json
2026-04-30,1484,2,19,1,1462
2026-04-29,1328,2,19,1,1306
2026-04-28,1183,2,19,1,1161
2026-04-27,1061,2,19,1,1039
2026-04-26,894,2,19,1,872
2026-04-25,777,2,19,1,755
2026-04-24,648,2,19,1,626
2026-04-23,516,2,18,1,495
2026-04-22,406,2,18,1,385
2026-04-21,326,1,17,1,307
2026-04-20,244,1,17,1,225
Date,Total,eft-where-am-i-2.3.1-dotnet-runtime-include2-full.nupkg,eft-where-am-i-2.3.1-dotnet-runtime-include2-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-04-19,134,1,16,1,116
Date,Total,eft-where-am-i-2.3.1-dotnet-runtime-include2-full.nupkg,eft-where-am-i-2.3.1-dotnet-runtime-include2-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-04-18,54,2,1,4,16,1,26,4
2026-04-17,9,1,1,1,4,0,1,0,1,0
