Date,Total,eft-where-am-i-2.3.4-full.nupkg,eft-where-am-i-2.3.4-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-08-22,36320,8,354,21,41,9,6,3,32051,3827
2026-08-21,35588,8,354,21,41,9,6,3,31403,3743
2026-08-20,34821,8,354,21,41,9,6,3,30717,3662
2026-08-19,34045,8,354,21,41,9,6,3,30036,3567
2026-08-18,33211,8,354,21,41,9,6,3,29300,3469
2026-08-17,32342,8,354,21,41,9,6,3,28539,3361
2026-08-16,31299,8,354,21,41,9,6,3,27625,3232
2026-08-15,30308,8,354,21,41,9,5,3,26751,3116
2026-08-14,29407,8,354,21,41,9,5,3,25974,2992
2026-08-13,28582,8,354,21,41,9,5,3,25263,2878
2026-08-12,27692,8,354,21,41,9,5,3,24486,2765
2026-08-11,26811,8,354,21,41,9,5,3,23723,2647
2026-08-10,25944,8,354,21,41,9,5,3,22973,2530
2026-08-09,24940,8,354,21,41,9,5,3,22116,2383
2026-08-08,23910,8,354,21,41,9,5,3,21231,2238
2026-08-07,22990,8,354,21,41,9,5,3,20448,2101
2026-08-06,22059,8,354,21,41,9,5,3,19641,1977
2026-08-05,21126,8,354,21,41,9,5,3,18840,1845
2026-08-04,20218,8,354,21,41,9,5,3,18060,1717
2026-08-03,19853,8,354,21,41,9,5,3,17741,1671
2026-08-02,19237,8,354,21,41,9,5,3,17189,1607
2026-08-01,18628,8,354,21,41,9,5,3,16654,1533
2026-07-31,18054,8,354,21,41,9,5,3,16132,1481
2026-07-30,17540,8,354,21,41,9,5,3,15663,1436
2026-07-29,17019,8,354,21,41,9,5,3,15187,1391
2026-07-28,16787,8,354,21,41,9,5,3,14980,1366
2026-07-27,16226,8,354,21,41,9,5,3,14486,1299
2026-07-26,15562,8,354,21,41,9,5,3,13893,1228
2026-07-25,14879,8,354,21,41,9,5,3,13283,1155
2026-07-24,14269,8,354,21,41,9,5,3,12743,1085
2026-07-23,13703,8,354,21,41,9,5,3,12251,1011
2026-07-22,13112,8,354,21,41,9,5,3,11726,945
2026-07-21,12507,8,354,21,41,9,5,3,11192,874
2026-07-20,11935,8,354,21,41,9,5,3,10674,820
2026-07-19,11280,8,354,21,41,8,5,3,10086,754
2026-07-18,10601,8,354,20,41,8,5,3,9486,676
2026-07-17,9921,8,354,20,41,8,5,3,8867,615
2026-07-16,9299,8,354,20,41,8,5,3,8297,563
2026-07-15,8717,8,354,20,41,8,5,2,7757,522
2026-07-14,8200,7,354,20,41,8,5,2,7278,485
2026-07-13,7653,7,353,20,41,8,4,2,6780,438
2026-07-12,7043,6,353,19,41,8,4,2,6215,395
2026-07-11,6391,6,353,19,39,8,3,2,5611,350
2026-07-10,5762,6,353,19,39,8,3,2,5035,297
2026-07-09,5214,6,352,19,39,7,3,2,4541,245
2026-07-08,4679,6,352,19,39,7,3,1,4043,209
2026-07-07,4161,6,352,19,39,7,3,1,3568,166
2026-07-06,3606,6,352,19,39,7,3,1,3047,132
2026-07-05,2905,6,352,19,39,7,3,1,2390,88
2026-07-04,2093,6,352,19,37,7,3,1,1617,51
2026-07-03,1700,6,352,19,37,7,3,1,1240,35
2026-07-02,1190,6,326,17,28,7,2,1,778,25
