Date,Total,eft-where-am-i-2.3.6-full.nupkg,eft-where-am-i-2.3.6-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-09-05,48954,207,1768,396,1158,49,40335,5041
2026-09-04,48124,207,1768,395,1158,49,39592,4955
2026-09-03,47330,207,1768,395,1158,49,38878,4875
Date,Total,eft-where-am-i-2.3.6-full.nupkg,eft-where-am-i-2.3.6-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-09-02,46561,207,1768,395,1158,49,38191,4793
2026-09-01,46101,207,1761,394,1150,126,169,48,37521,4725
2026-08-31,45291,205,1749,391,1140,125,166,47,36825,4643
2026-08-30,44399,204,1739,388,1124,123,165,46,36057,4553
2026-08-29,43491,202,1723,381,1105,123,163,46,35289,4459
2026-08-28,42658,200,1709,379,1096,121,161,45,34572,4375
2026-08-27,41761,200,1687,375,1083,121,160,45,33802,4288
2026-08-26,40861,199,1669,373,1071,120,159,44,33037,4189
2026-08-25,40058,197,1654,371,1060,118,159,44,32348,4107
2026-08-24,39234,196,1640,366,1045,115,159,43,31658,4012
2026-08-23,38268,193,1625,359,1034,114,156,43,30844,3900
2026-08-22,37241,190,1604,355,1019,112,153,43,29990,3775
2026-08-21,36462,187,1592,351,1003,108,151,42,29337,3691
2026-08-20,35667,185,1582,349,994,107,150,42,28648,3610
2026-08-19,34851,184,1567,344,983,107,150,42,27959,3515
2026-08-18,33939,180,1542,337,953,105,147,40,27218,3417
2026-08-17,32956,176,1488,325,921,103,145,40,26449,3309
2026-08-16,31821,170,1460,316,890,100,140,38,25529,3178
2026-08-15,30741,162,1440,304,851,99,135,37,24653,3060
2026-08-14,29782,159,1423,297,825,98,133,36,23875,2936
2026-08-13,28907,156,1405,290,814,97,128,36,23160,2821
2026-08-12,27942,152,1375,281,797,94,122,35,22379,2707
2026-08-11,26980,147,1348,270,769,90,120,32,21616,2588
2026-08-10,26042,145,1322,267,747,88,115,32,20859,2467
2026-08-09,24924,137,1290,251,705,85,107,28,20000,2321
2026-08-08,23770,128,1265,236,653,83,100,26,19105,2174
2026-08-07,22740,120,1239,225,603,78,97,22,18319,2037
2026-08-06,21694,112,1195,218,562,74,90,21,17510,1912
2026-08-05,20647,109,1143,207,528,71,83,20,16706,1780
2026-08-04,19527,102,1061,176,463,63,72,17,15923,1650
2026-08-03,19120,100,1038,173,447,61,71,17,15609,1604
2026-08-02,18456,98,1019,167,435,59,70,16,15054,1538
2026-08-01,17817,97,1009,164,425,58,68,16,14516,1464
2026-07-31,17204,94,997,161,414,57,65,15,13989,1412
2026-07-30,16660,93,983,158,407,56,65,15,13516,1367
2026-07-29,16111,92,975,156,397,54,64,14,13037,1322
2026-07-28,15865,92,972,156,392,52,64,14,12827,1296
2026-07-27,15269,90,961,152,382,52,61,14,12329,1228
2026-07-26,14545,86,947,143,360,50,57,13,11732,1157
2026-07-25,13803,82,918,136,349,47,57,13,11118,1083
2026-07-24,13137,77,897,131,332,47,55,13,10573,1012
2026-07-23,12534,75,887,127,319,46,54,13,10075,938
2026-07-22,11910,75,874,126,306,46,54,13,9544,872
2026-07-21,11252,74,854,120,291,45,51,12,9004,801
2026-07-20,10637,70,841,113,281,45,50,12,8478,747
2026-07-19,9936,67,824,107,269,42,46,12,7888,681
2026-07-18,9197,67,800,100,252,42,39,12,7282,603
2026-07-17,8470,64,778,95,243,41,36,11,6660,542
2026-07-16,7806,64,760,93,230,39,35,11,6085,489
2026-07-15,7183,63,738,91,218,37,35,11,5542,448
2026-07-14,6635,63,724,89,208,37,35,11,5057,411
2026-07-13,6040,62,703,85,197,36,32,10,4551,364
2026-07-12,5371,59,681,79,177,33,31,9,3981,321
2026-07-11,4640,53,648,67,156,30,29,7,3374,276
2026-07-10,3900,47,605,53,135,21,25,4,2790,220
2026-07-09,3260,40,561,48,117,18,21,2,2287,166
2026-07-08,2640,34,515,45,97,17,19,1,1782,130
2026-07-07,2027,30,462,36,79,13,14,1,1305,87
2026-07-06,1346,28,382,25,61,10,11,1,775,53
2026-07-05,223,6,83,3,6,0,1,0,115,9
