Date,Total,eft-where-am-i-2.4.5-full.nupkg,eft-where-am-i-2.4.5-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-09-25,11959,157,1070,64,115,6,9323,1224
2026-09-24,11335,154,1045,61,110,6,8800,1159
2026-09-23,10613,150,1025,54,103,6,8212,1063
2026-09-22,9980,149,1003,51,98,6,7690,983
2026-09-21,9364,148,983,46,93,5,7181,908
2026-09-20,8649,143,955,43,85,4,6586,833
2026-09-19,7861,142,921,37,79,3,5926,753
2026-09-18,7178,137,898,33,70,3,5350,687
2026-09-17,6598,135,885,31,67,3,4844,633
2026-09-16,5913,133,862,30,61,3,4265,559
2026-09-15,5356,131,838,29,56,3,3795,504
2026-09-14,4645,116,816,26,49,2,3208,428
2026-09-13,3791,103,763,20,37,2,2537,329
2026-09-12,2818,88,656,16,30,2,1790,236
2026-09-11,1847,71,523,8,20,1,1085,139
2026-09-10,795,36,280,2,3,0,423,51
