Date,Total,Tarkov_Server_Finder_v1.0.zip
2025-01-18,16,16
2025-01-17,16,16
2025-01-16,16,16
2025-01-15,16,16
2025-01-14,16,16
2025-01-13,16,16
2025-01-12,16,16
2025-01-11,16,16
2025-01-10,16,16
2025-01-09,16,16
2025-01-08,16,16
2025-01-07,16,16
2025-01-06,16,16
2025-01-05,16,16
2025-01-04,16,16
2025-01-03,16,16
2025-01-02,16,16
2025-01-01,16,16
2024-12-31,16,16
2024-12-30,16,16
2024-12-29,16,16
2024-12-28,16,16
2024-12-27,16,16
2024-12-26,16,16
2024-12-25,16,16
2024-12-24,16,16
2024-12-23,16,16
2024-12-22,16,16
2024-12-21,16,16
2024-12-20,16,16
2024-12-19,16,16
2024-12-18,16,16
2024-12-17,16,16
2024-12-16,16,16
2024-12-15,16,16
2024-12-14,16,16
2024-12-13,15,15
2024-12-12,15,15
2024-12-11,14,14
2024-12-10,14,14
2024-12-09,14,14
2024-12-08,14,14
2024-12-07,14,14
2024-12-06,14,14
2024-12-05,14,14
2024-12-04,14,14
2024-12-03,14,14
2024-12-02,14,14
2024-12-01,14,14
2024-11-30,14,14
2024-11-29,14,14
2024-11-28,14,14
2024-11-27,14,14
2024-11-26,14,14
2024-11-25,14,14
2024-11-24,14,14
2024-11-23,14,14
2024-11-22,14,14
2024-11-21,14,14
2024-11-20,14,14
2024-11-19,14,14
2024-11-18,14,14
2024-11-17,14,14
2024-11-16,14,14
2024-11-15,14,14
2024-11-14,14,14
2024-11-13,14,14
2024-11-12,14,14
2024-11-11,14,14
2024-11-10,14,14
2024-11-09,14,14
2024-11-08,14,14
2024-11-07,14,14
2024-11-06,14,14
2024-11-05,14,14
2024-11-04,14,14
2024-11-03,14,14
2024-11-02,14,14
2024-11-01,14,14
2024-10-31,14,14
2024-10-30,14,14
2024-10-29,14,14
2024-10-28,14,14
2024-10-27,14,14
2024-10-26,14,14
2024-10-25,14,14
2024-10-24,14,14
2024-10-23,14,14
2024-10-22,14,14
2024-10-21,14,14
2024-10-20,14,14
2024-10-19,14,14
2024-10-18,14,14
2024-10-17,14,14
2024-10-16,14,14
2024-10-15,14,14
2024-10-14,14,14
2024-10-13,14,14
2024-10-12,14,14
2024-10-11,14,14
2024-10-10,14,14
2024-10-09,14,14
2024-10-08,14,14
2024-10-07,14,14
2024-10-06,14,14
2024-10-05,14,14
2024-10-04,14,14
2024-10-03,14,14
2024-10-02,14,14
2024-10-01,14,14
2024-09-30,14,14
2024-09-29,14,14
2024-09-28,14,14
2024-09-27,14,14
2024-09-26,14,14
2024-09-25,14,14
2024-09-24,14,14
2024-09-23,14,14
2024-09-22,13,13
2024-09-21,13,13
2024-09-20,13,13
2024-09-19,13,13
2024-09-18,13,13
2024-09-17,13,13
2024-09-16,13,13
2024-09-15,13,13
2024-09-14,13,13
2024-09-13,13,13
2024-09-12,13,13
2024-09-11,13,13
2024-09-10,13,13
2024-09-09,13,13
2024-09-08,13,13
2024-09-07,13,13
2024-09-06,13,13
2024-09-05,13,13
2024-09-04,13,13
2024-09-03,13,13
2024-09-02,13,13
2024-09-01,13,13
2024-08-31,13,13
2024-08-30,13,13
2024-08-29,13,13
2024-08-28,13,13
2024-08-27,13,13
2024-08-26,13,13
2024-08-25,13,13
2024-08-24,13,13
2024-08-23,13,13
2024-08-22,13,13
2024-08-21,13,13
2024-08-20,13,13
2024-08-19,13,13
2024-08-18,13,13
2024-08-17,13,13
2024-08-16,13,13
2024-08-15,13,13
2024-08-14,13,13
2024-08-12,13,13
2024-08-11,13,13
2024-08-10,13,13
2024-08-09,13,13
2024-08-08,13,13
2024-08-07,13,13
2024-08-06,13,13
2024-08-05,13,13
2024-08-04,13,13
2024-08-03,13,13
2024-08-02,13,13
2024-08-01,13,13
2024-07-31,13,13
2024-07-30,13,13
2024-07-29,13,13
2024-07-28,13,13
2024-07-27,13,13
2024-07-26,13,13
2024-07-25,13,13
2024-07-24,13,13
2024-07-23,13,13
2024-07-22,13,13
2024-07-21,13,13
2024-07-20,13,13
2024-07-19,13,13
2024-07-18,13,13
2024-07-17,13,13
2024-07-16,13,13
2024-07-15,13,13
2024-07-14,13,13
2024-07-13,13,13
2024-07-12,12,12
2024-07-11,12,12
2024-07-10,12,12
2024-07-09,12,12
2024-07-08,12,12
2024-07-07,12,12
2024-07-06,12,12
2024-07-05,12,12
2024-07-04,12,12
2024-07-03,12,12
2024-07-02,12,12
2024-07-01,12,12
2024-06-30,12,12
